Year,Construction,Furniture,Newsprint_Paper,Printing_Writing_Paper,Other_Paper
1961,1902938514,9083359841,50295000,140859000,192275000
1962,1884651721,8996070881,50662500,152569500,213125000
1963,1915463151,9143144109,65082500,164261500,229712500
1964,1938906849,9255048691,64435000,164076500,244212500
1965,1962505669,9367693727,66727500,172124000,251200000
1966,1979301501,9447865830,69965000,182058500,261375000
1967,1988402387,9491307394,54617500,131072500,201875000
1968,2005412161,9572500716,64102500,136493000,220725000
1969,2022739943,9655211996,68810000,142320500,234700000
1970,2040882478,9741812363,76516125,153790870,243348750
1971,2070740442,9884334376,85120000,159451870,263075000
1972,2119907410,10119024706,94955000,160543000,296087500
1973,2147429793,10250398210,120557500,205498000,341250000
1974,2226462457,10627647460,78277500,234136000,322737500
1975,2337830252,11159243070,77962500,238835000,337912500
1976,2417733750,11540649099,81672500,245402500,364562500
1977,2421032493,11556395101,93625000,271783500,404775000
1978,2392064444,11418120948,105892500,318903000,482875000
1979,2403358042,11472029052,103845000,317127000,611300000
1980,2397224821,11442753144,107026675,344583775,674500000
1981,2379379964,11357573695,117075000,353627500,672050000
1982,2392051756,11418060381,112437500,380378500,705537500
1983,2398391327,11448321267,123970000,420283000,820075000
1984,2419972107,11551333524,128397500,480815000,914500000
1985,2411110086,11509032142,157167500,591574500,1056475000
1986,2400000000,11456000000,135905000,660912500,1252450000
1987,2384307904,11381096396,142975000,774817000,1424100000
1988,2365460875,11291133243,142222500,854293000,1497862500
1989,2352685193,11230150655,155802325,920264000,1564062500
1990,2304819482,11001671659,159637975,998102935,1607393250
1991,2279347343,10831210169,155063825,1053149500,1700218250
1992,2247807380,10650316962,182875000,1193065000,1967750000
1993,1821375295,13400000000,211925000,716135000,2530750000
1994,3030845923,15200000000,237475000,1045065000,2753875000
1995,4055628874,13600000000,238000000,1052095000,3053250000
1996,3301521588,14200000000,331800000,1445035000,3350250000
1997,2883819481,13600000000,363825000,1581935000,3525250000
1998,2716966678,13200000000,317450000,1511450000,3650250000
1999,2320638139,14000000000,371350000,1696080000,3730875000
2000,2606733240,13600000000,436100000,1924555000,3552375000
2001,2781113802,14000000000,455350000,1934175000,3604000000
2002,3041846306,14600000000,480900000,2408515000,4033875000
2003,3382454040,15000000000,555975000,2509710000,4557375000
2004,4830870966,15199275242,695800000,2723570000,5124250000
2005,6583028153,15636528000,717850000,2832905000,5628375000
2006,11986965330,16869415000,741825000,3145740000,6242750000
2007,10488340014,19889698400,812875000,3411585000,6874125000
2008,11396328395,20058154200,867125000,3576235000,7507000000
2009,11685841994,23346826000,901950000,3753835000,8107375000
2010,15507836448,23893322223,843325000,4103485000,8737625000
2011,15517641691,28995307800,785925000,4380245000,9334750000
2012,14944373446,29694954000,789600000,4454245000,9641750000
2013,12167826458,32393400400,724500000,4321970000,9442500000
2014,12891289981,33446464200,643825000,4337510000,9859875000
2015,13421624090,33537187682,594475000,4469045000,10179625000
2016,13084867486,34630500000,525875000,4421315000,10321500000
2017,11054113356,37200000000,503457500,4512224000,10473300000
2018,11909003573,34200000000,520938501.3,4747144543,10864141518
2019,12827082773,36000000000,539026476.2,4994295787,11269568420
2020,10511257995,32180000000,557742500,5254314500,11690125000
2021,8946678873,34513416154,571333313.2,5468623709,12030244477
2022,9222546869,35847334015,585255301.1,5691674008,12380259593
2023,9506921167,37236220847,599516533.5,5923821922,12740458258
2024,9800064056,38682491456,614125277.2,6165438519,13111136758
2025,10102245912,40188673098,629090000,6416910000,13492600000
2026,10408965086,41758153712,644487583.2,6688475863,13885385602
2027,10724996708,43393337126,660262037.1,6971534488,14289605659
2028,11050623520,45097164942,676422586,7266572253,14705593042
2029,11386136845,46872718485,692978679.8,7574096118,15133690311
2030,11731836852,48723225768,709940000,7894634500,15574250000
2031,11923029416,49854165468,716573377.4,8094423269,15852363358
2032,12117337826,51014341923,723268734.3,8299268074,16135443057
2033,12314812860,52204586066,730026649.8,8509296867,16423577782
2034,12515506125,53425754245,736847708.4,8724640839,16716857803
2035,12719470068,54678729042,743732500,8945434500,17015375000
2036,12925712356,55884618363,749698029.5,9150148278,17311903083
2037,13135298798,57119929652,755711408.8,9359546874,17613598780
2038,13348283621,58385445914,761773021.9,9573737499,17920552149
2039,13564721926,59681972452,767883255.7,9792829816,18232854815
2040,13784669712,61010337528,774042500,10016936000,18550600000
2041,14007504366,62345285615,779920059.2,10238966189,18874355332
2042,14233941230,63712492314,785842248.6,10465917785,19203761022
2043,14464038536,65112804694,791809407.1,10697899871,19538915682
2044,14697855456,66547093539,797821876.2,10935023951,19879919646
2045,14935452120,68016254040,803880000,11177404000,20226875000
2046,14931717888,68195992528,806881502.3,11378632859,20208634632
2047,14927984590,68378353552,809894211.6,11583484478,20190410712
2048,14924252226,68563338257,812918169.6,11792024078,20172203227
2049,14920520794,68750948057,815953418.3,12004318055,20154012161
2050,14916790296,68941184634,819000000,12220434000,20135837500
2051,14935940317,69156743919,816201946.5,12346694767,20379493918
2052,14955114923,69374101069,813413452.4,12474260053,20626098733
2053,14974314145,69593263463,810634484.9,12603143335,20875687622
2054,14993538015,69814238575,807865011.6,12733358231,21128296696
2055,15012786564,7.00E+10,805105000,12864918500,21383962500
2056,15041225535,7.03E+10,804421339.9,13021792252,21577791680
2057,15069718378,7.06E+10,803738260.4,13180578910,21773377773
2058,15098265196,7.09E+10,803055760.9,13341301799,21970736703
2059,15126866090,7.11E+10,802373840.9,13503984530,22169884541
2060,15155521164,7.14E+10,801692500,13668651000,22370837500
2061,15073878465,7.10E+10,796821159,13753100615,22418699759
2062,14992675575,7.07E+10,791979417.8,13838071990,22466664420
2063,14911910124,7.03E+10,787167096.5,13923568346,22514731700
2064,14831579757,6.99E+10,782384016.5,14009592928,22562901820
2065,14751682128,6.95E+10,777630000,14096149000,22611175000
2066,14672930074,6.91E+10,770529510.4,14158175136,22658084954
2067,14594598439,6.87E+10,763493854.8,14220474200,22705092228
2068,14516684979,6.83E+10,756522441.4,14283047394,22752197026
2069,14439187461,6.79E+10,749614683.6,14345895923,22799399549
2070,14362103664,6.75E+10,742770000,14409021000,22846700000
